SrNo,TollID,CategoryID,Single,Round
128,19,2,113,170
129,19,3,208,312
130,19,4,323,485
131,19,5,338,507
132,19,6,368,552
133,19,7,418,627
134,20,1,69,104
135,20,2,114,171
136,20,3,209,314
137,20,4,324,486
138,20,5,339,509
139,20,6,369,554
140,20,7,419,629
141,21,1,70,105
142,21,2,115,173
143,21,3,210,315
144,21,4,325,488
145,21,5,340,510
146,21,6,370,555
147,21,7,420,630
148,22,1,71,107
149,22,2,116,174
150,22,3,211,317
151,22,4,326,489
152,22,5,341,512
153,22,6,371,557
154,22,7,421,632
155,23,1,72,108
156,23,2,117,176
157,23,3,212,318
158,23,4,327,491
159,23,5,342,513
160,23,6,372,558
161,23,7,422,633
162,24,1,73,110
163,24,2,118,177
164,24,3,213,320
165,24,4,328,492
166,24,5,343,515
167,24,6,373,560
168,24,7,423,635
169,25,1,74,111
170,25,2,119,179
171,25,3,214,321
172,25,4,329,494
173,25,5,344,516
174,25,6,374,561
175,25,7,424,636
176,26,1,50,75
177,26,2,95,143
178,26,3,190,285
179,26,4,305,458
180,26,5,320,480
181,26,6,350,525
182,26,7,400,600
183,27,1,51,77
184,27,2,96,144
185,27,3,191,287
186,27,4,306,459
187,27,5,321,482
188,27,6,351,527
189,27,7,401,602
190,28,1,52,78
191,28,2,97,146
192,28,3,192,288
193,28,4,307,461
194,28,5,322,483
195,28,6,352,528
196,28,7,402,603
197,29,1,53,80
198,29,2,98,147
199,29,3,193,290
200,29,4,308,462
201,29,5,323,485
202,29,6,353,530
203,29,7,403,605
204,30,1,54,81
205,30,2,99,149
206,30,3,194,291
207,30,4,309,464
208,30,5,324,486
209,30,6,354,531
210,30,7,404,606
211,31,1,55,83
212,31,2,100,150
213,31,3,195,293
214,31,4,310,465
215,31,5,325,488
216,31,6,355,533
217,31,7,405,608
218,32,1,56,84
219,32,2,101,152
220,32,3,196,294
221,32,4,311,467
222,32,5,326,489
223,32,6,356,534
224,32,7,406,609
225,33,1,57,86
226,33,2,102,153
227,33,3,197,296
228,33,4,312,468
229,33,5,327,491
230,33,6,357,536
231,33,7,407,611
232,34,1,58,87
233,34,2,103,155
234,34,3,198,297
235,34,4,313,470
236,34,5,328,492
237,34,6,358,537
238,34,7,408,612
239,35,1,59,89
240,35,2,104,156
241,35,3,199,299
242,35,4,314,471
243,35,5,329,494
244,35,6,359,539
245,35,7,409,614
246,36,1,60,90
247,36,2,105,158
248,36,3,200,300
249,36,4,315,473
250,36,5,330,495
251,36,6,360,540
252,36,7,410,615
253,37,1,61,92
254,37,2,106,159
255,37,3,201,302
256,37,4,316,474
257,37,5,331,497
258,37,6,361,542
259,37,7,411,617
260,38,1,62,93
261,38,2,107,161
262,38,3,202,303
263,38,4,317,476
264,38,5,332,498
265,38,6,362,543
266,38,7,412,618
267,39,1,63,95
268,39,2,108,162
269,39,3,203,305
270,39,4,318,477
271,39,5,333,500
272,39,6,363,545
273,39,7,413,620
274,40,1,64,96
275,40,2,109,164
276,40,3,204,306
277,40,4,319,479
278,40,5,334,501
279,40,6,364,546
280,40,7,414,621
281,41,1,65,98
282,41,2,110,165
283,41,3,205,308
284,41,4,320,480
285,41,5,335,503
286,41,6,365,548
287,41,7,415,623
288,42,1,66,99
289,42,2,111,167
290,42,3,206,309
291,42,4,321,482
292,42,5,336,504
293,42,6,366,549
294,42,7,416,624
295,43,1,67,101
296,43,2,112,168
297,43,3,207,311
298,43,4,322,483
299,43,5,337,506
300,43,6,367,551
301,43,7,417,626
302,44,1,68,102
303,44,2,113,170
304,44,3,208,312
305,44,4,323,485
306,44,5,338,507
307,44,6,368,552
308,44,7,418,627
309,45,1,69,104
310,45,2,114,171
311,45,3,209,314
312,45,4,324,486
313,45,5,339,509
314,45,6,369,554
315,45,7,419,629
316,46,1,70,105
317,46,2,115,173
318,46,3,210,315
319,46,4,325,488
320,46,5,340,510
321,46,6,370,555
322,46,7,420,630
323,47,1,71,107
324,47,2,116,174
325,47,3,211,317
326,47,4,326,489
327,47,5,341,512
328,47,6,371,557
329,47,7,421,632
330,48,1,72,108
331,48,2,117,176
332,48,3,212,318
333,48,4,327,491
334,48,5,342,513
335,48,6,372,558
336,48,7,422,633
337,49,1,73,110
338,49,2,118,177
339,49,3,213,320
340,49,4,328,492
341,49,5,343,515
342,49,6,373,560
343,49,7,423,635
344,50,1,74,111
345,50,2,119,179
346,50,3,214,321
347,50,4,329,494
348,50,5,344,516
349,50,6,374,561
350,50,7,424,636
351,51,1,50,75
352,51,2,95,143
353,51,3,190,285
354,51,4,305,458
355,51,5,320,480
356,51,6,350,525
357,51,7,400,600
358,52,1,51,77
359,52,2,96,144
360,52,3,191,287
361,52,4,306,459
362,52,5,321,482
363,52,6,351,527
364,52,7,401,602
365,53,1,52,78
366,53,2,97,146
367,53,3,192,288
368,53,4,307,461
369,53,5,322,483
370,53,6,352,528
371,53,7,402,603
372,54,1,53,80
373,54,2,98,147
374,54,3,193,290
375,54,4,308,462
376,54,5,323,485
377,54,6,353,530
378,54,7,403,605
379,55,1,54,81
380,55,2,99,149
381,55,3,194,291
382,55,4,309,464
383,55,5,324,486
384,55,6,354,531
385,55,7,404,606
386,56,1,55,83
387,56,2,100,150
388,56,3,195,293
389,56,4,310,465
390,56,5,325,488
391,56,6,355,533
392,56,7,405,608
393,57,1,56,84
394,57,2,101,152
395,57,3,196,294
396,57,4,311,467
397,57,5,326,489
398,57,6,356,534
399,57,7,406,609
400,58,1,57,86
401,58,2,102,153
402,58,3,197,296
403,58,4,312,468
404,58,5,327,491
405,58,6,357,536
406,58,7,407,611
407,59,1,58,87
408,59,2,103,155
409,59,3,198,297
410,59,4,313,470
411,59,5,328,492
412,59,6,358,537
413,59,7,408,612
414,60,1,59,89
415,60,2,104,156
416,60,3,199,299
417,60,4,314,471
418,60,5,329,494
419,60,6,359,539
420,60,7,409,614
421,61,1,60,90
422,61,2,105,158
423,61,3,200,300
424,61,4,315,473
425,61,5,330,495
426,61,6,360,540
427,61,7,410,615
428,62,1,61,92
429,62,2,106,159
430,62,3,201,302
431,62,4,316,474
432,62,5,331,497
433,62,6,361,542
434,62,7,411,617
435,63,1,62,93
436,63,2,107,161
437,63,3,202,303
438,63,4,317,476
439,63,5,332,498
440,63,6,362,543
441,63,7,412,618
442,64,1,63,95
443,64,2,108,162
444,64,3,203,305
445,64,4,318,477
446,64,5,333,500
447,64,6,363,545
448,64,7,413,620
449,65,1,64,96
450,65,2,109,164
451,65,3,204,306
452,65,4,319,479
453,65,5,334,501
454,65,6,364,546
455,65,7,414,621
456,66,1,65,98
457,66,2,110,165
458,66,3,205,308
459,66,4,320,480
460,66,5,335,503
461,66,6,365,548
462,66,7,415,623
463,67,1,66,99
464,67,2,111,167
465,67,3,206,309
466,67,4,321,482
467,67,5,336,504
468,67,6,366,549
469,67,7,416,624
470,68,1,67,101
471,68,2,112,168
472,68,3,207,311
473,68,4,322,483
474,68,5,337,506
475,68,6,367,551
476,68,7,417,626
477,69,1,68,102
478,69,2,113,170
479,69,3,208,312
480,69,4,323,485
481,69,5,338,507
482,69,6,368,552
483,69,7,418,627
484,70,1,69,104
485,70,2,114,171
486,70,3,209,314
487,70,4,324,486
488,70,5,339,509
489,70,6,369,554
490,70,7,419,629
491,71,1,70,105
492,71,2,115,173
493,71,3,210,315
494,71,4,325,488
495,71,5,340,510
496,71,6,370,555
497,71,7,420,630
498,72,1,71,107
499,72,2,116,174
500,72,3,211,317
501,72,4,326,489
502,72,5,341,512
503,72,6,371,557
504,72,7,421,632
505,73,1,72,108
506,73,2,117,176
507,73,3,212,318
508,73,4,327,491
509,73,5,342,513
510,73,6,372,558
511,73,7,422,633
512,74,1,73,110
513,74,2,118,177
514,74,3,213,320
515,74,4,328,492
516,74,5,343,515
517,74,6,373,560
518,74,7,423,635
519,75,1,74,111
520,75,2,119,179
521,75,3,214,321
522,75,4,329,494
523,75,5,344,516
524,75,6,374,561
525,75,7,424,636
526,76,1,50,75
527,76,2,95,143
528,76,3,190,285
529,76,4,305,458
530,76,5,320,480
531,76,6,350,525
532,76,7,400,600
533,77,1,51,77
534,77,2,96,144
535,77,3,191,287
536,77,4,306,459
537,77,5,321,482
538,77,6,351,527
539,77,7,401,602
540,78,1,52,78
541,78,2,97,146
542,78,3,192,288
543,78,4,307,461
544,78,5,322,483
545,78,6,352,528
546,78,7,402,603
547,79,1,53,80
548,79,2,98,147
549,79,3,193,290
550,79,4,308,462
551,79,5,323,485
552,79,6,353,530
553,79,7,403,605
554,80,1,54,81
555,80,2,99,149
556,80,3,194,291
557,80,4,309,464
558,80,5,324,486
559,80,6,354,531
560,80,7,404,606
561,81,1,55,83
562,81,2,100,150
563,81,3,195,293
564,81,4,310,465
565,81,5,325,488
566,81,6,355,533
567,81,7,405,608
568,82,1,56,84
569,82,2,101,152
570,82,3,196,294
571,82,4,311,467
572,82,5,326,489
573,82,6,356,534
574,82,7,406,609
575,83,1,57,86
576,83,2,102,153
577,83,3,197,296
578,83,4,312,468
579,83,5,327,491
580,83,6,357,536
581,83,7,407,611
582,84,1,58,87
583,84,2,103,155
584,84,3,198,297
585,84,4,313,470
586,84,5,328,492
587,84,6,358,537
588,84,7,408,612
589,85,1,59,89
590,85,2,104,156
591,85,3,199,299
592,85,4,314,471
593,85,5,329,494
594,85,6,359,539
595,85,7,409,614
596,86,1,60,90
597,86,2,105,158
598,86,3,200,300
599,86,4,315,473
600,86,5,330,495
601,86,6,360,540
602,86,7,410,615
603,87,1,61,92
604,87,2,106,159
605,87,3,201,302
606,87,4,316,474
607,87,5,331,497
608,87,6,361,542
609,87,7,411,617
610,88,1,62,93
611,88,2,107,161
612,88,3,202,303
613,88,4,317,476
614,88,5,332,498
615,88,6,362,543
616,88,7,412,618
617,89,1,63,95
618,89,2,108,162
619,89,3,203,305
620,89,4,318,477
621,89,5,333,500
622,89,6,363,545
623,89,7,413,620
624,90,1,64,96
625,90,2,109,164
626,90,3,204,306
627,90,4,319,479
628,90,5,334,501
629,90,6,364,546
630,90,7,414,621
631,91,1,65,98
632,91,2,110,165
633,91,3,205,308
634,91,4,320,480
635,91,5,335,503
636,91,6,365,548
637,91,7,415,623
638,92,1,66,99
639,92,2,111,167
640,92,3,206,309
641,92,4,321,482
642,92,5,336,504
643,92,6,366,549
644,92,7,416,624
645,93,1,67,101
646,93,2,112,168
647,93,3,207,311
648,93,4,322,483
649,93,5,337,506
650,93,6,367,551
651,93,7,417,626
652,94,1,68,102
653,94,2,113,170
654,94,3,208,312
655,94,4,323,485
656,94,5,338,507
657,94,6,368,552
658,94,7,418,627
659,95,1,69,104
660,95,2,114,171
661,95,3,209,314
662,95,4,324,486
663,95,5,339,509
664,95,6,369,554
665,95,7,419,629
666,96,1,70,105
667,96,2,115,173
668,96,3,210,315
669,96,4,325,488
670,96,5,340,510
671,96,6,370,555
672,96,7,420,630
673,97,1,71,107
674,97,2,116,174
675,97,3,211,317
676,97,4,326,489
677,97,5,341,512
678,97,6,371,557
679,97,7,421,632
680,98,1,72,108
681,98,2,117,176
682,98,3,212,318
683,98,4,327,491
684,98,5,342,513
685,98,6,372,558
686,98,7,422,633
687,99,1,73,110
688,99,2,118,177
689,99,3,213,320
690,99,4,328,492
691,99,5,343,515
692,99,6,373,560
693,99,7,423,635
694,100,1,74,111
695,100,2,119,179
696,100,3,214,321
697,100,4,329,494
698,100,5,344,516
699,100,6,374,561
700,100,7,424,636
701,101,1,50,75
702,101,2,95,143
703,101,3,190,285
704,101,4,305,458
705,101,5,320,480
706,101,6,350,525
707,101,7,400,600
708,102,1,51,77
709,102,2,96,144
710,102,3,191,287
711,102,4,306,459
712,102,5,321,482
713,102,6,351,527
714,102,7,401,602
715,103,1,52,78
716,103,2,97,146
717,103,3,192,288
718,103,4,307,461
719,103,5,322,483
720,103,6,352,528
721,103,7,402,603
722,104,1,53,80
723,104,2,98,147
724,104,3,193,290
725,104,4,308,462
726,104,5,323,485
727,104,6,353,530
728,104,7,403,605
729,105,1,54,81
730,105,2,99,149
731,105,3,194,291
732,105,4,309,464
733,105,5,324,486
734,105,6,354,531
735,105,7,404,606
736,106,1,55,83
737,106,2,100,150
738,106,3,195,293
739,106,4,310,465
740,106,5,325,488
741,106,6,355,533
742,106,7,405,608
743,107,1,56,84
744,107,2,101,152
745,107,3,196,294
746,107,4,311,467
747,107,5,326,489
748,107,6,356,534
749,107,7,406,609
750,108,1,57,86
751,108,2,102,153
752,108,3,197,296
753,108,4,312,468
754,108,5,327,491
755,108,6,357,536
756,108,7,407,611
757,109,1,58,87
758,109,2,103,155
759,109,3,198,297
760,109,4,313,470
761,109,5,328,492
762,109,6,358,537
763,109,7,408,612
764,110,1,59,89
765,110,2,104,156
766,110,3,199,299
767,110,4,314,471
768,110,5,329,494
769,110,6,359,539
770,110,7,409,614
771,111,1,60,90
772,111,2,105,158
773,111,3,200,300
774,111,4,315,473
775,111,5,330,495
776,111,6,360,540
777,111,7,410,615
778,112,1,61,92
779,112,2,106,159
780,112,3,201,302
781,112,4,316,474
782,112,5,331,497
783,112,6,361,542
784,112,7,411,617
785,113,1,62,93
786,113,2,107,161
787,113,3,202,303
788,113,4,317,476
789,113,5,332,498
790,113,6,362,543
791,113,7,412,618
792,114,1,63,95
793,114,2,108,162
794,114,3,203,305
795,114,4,318,477
796,114,5,333,500
797,114,6,363,545
798,114,7,413,620
799,115,1,64,96
800,115,2,109,164
801,115,3,204,306
802,115,4,319,479
803,115,5,334,501
804,115,6,364,546
805,115,7,414,621
806,116,1,65,98
807,116,2,110,165
808,116,3,205,308
809,116,4,320,480
810,116,5,335,503
811,116,6,365,548
812,116,7,415,623
813,117,1,66,99
814,117,2,111,167
815,117,3,206,309
816,117,4,321,482
817,117,5,336,504
818,117,6,366,549
819,117,7,416,624
820,118,1,67,101
821,118,2,112,168
822,118,3,207,311
823,118,4,322,483
824,118,5,337,506
825,118,6,367,551
826,118,7,417,626
827,119,1,68,102
828,119,2,113,170
829,119,3,208,312
830,119,4,323,485
831,119,5,338,507
832,119,6,368,552
833,119,7,418,627
834,120,1,69,104
835,120,2,114,171
836,120,3,209,314
837,120,4,324,486
838,120,5,339,509
839,120,6,369,554
840,120,7,419,629
841,121,1,70,105
842,121,2,115,173
843,121,3,210,315
844,121,4,325,488
845,121,5,340,510
846,121,6,370,555
847,121,7,420,630
848,122,1,71,107
849,122,2,116,174
850,122,3,211,317
851,122,4,326,489
852,122,5,341,512
853,122,6,371,557
854,122,7,421,632
855,123,1,72,108
856,123,2,117,176
857,123,3,212,318
858,123,4,327,491
859,123,5,342,513
860,123,6,372,558
861,123,7,422,633
862,124,1,73,110
863,124,2,118,177
864,124,3,213,320
865,124,4,328,492
866,124,5,343,515
867,124,6,373,560
868,124,7,423,635
869,125,1,74,111
870,125,2,119,179
871,125,3,214,321
872,125,4,329,494
873,125,5,344,516
874,125,6,374,561
875,125,7,424,636
876,126,1,50,75
877,126,2,95,143
878,126,3,190,285
879,126,4,305,458
880,126,5,320,480
881,126,6,350,525
882,126,7,400,600
883,127,1,51,77
884,127,2,96,144
885,127,3,191,287
886,127,4,306,459
887,127,5,321,482
888,127,6,351,527
889,127,7,401,602
890,128,1,52,78
891,128,2,97,146
892,128,3,192,288
893,128,4,307,461
894,128,5,322,483
895,128,6,352,528
896,128,7,402,603
897,129,1,53,80
898,129,2,98,147
899,129,3,193,290
900,129,4,308,462
901,129,5,323,485
902,129,6,353,530
903,129,7,403,605
904,130,1,54,81
905,130,2,99,149
906,130,3,194,291
907,130,4,309,464
908,130,5,324,486
909,130,6,354,531
910,130,7,404,606
911,131,1,55,83
912,131,2,100,150
913,131,3,195,293
914,131,4,310,465
915,131,5,325,488
916,131,6,355,533
917,131,7,405,608
918,132,1,56,84
919,132,2,101,152
920,132,3,196,294
921,132,4,311,467
922,132,5,326,489
923,132,6,356,534
924,132,7,406,609
925,133,1,57,86
926,133,2,102,153
927,133,3,197,296
928,133,4,312,468
929,133,5,327,491
930,133,6,357,536
931,133,7,407,611
932,134,1,58,87
933,134,2,103,155
934,134,3,198,297
935,134,4,313,470
936,134,5,328,492
937,134,6,358,537
938,134,7,408,612
939,135,1,59,89
940,135,2,104,156
941,135,3,199,299
942,135,4,314,471
943,135,5,329,494
944,135,6,359,539
945,135,7,409,614
946,136,1,60,90
947,136,2,105,158
948,136,3,200,300
949,136,4,315,473
950,136,5,330,495
951,136,6,360,540
952,136,7,410,615
953,137,1,61,92
954,137,2,106,159
955,137,3,201,302
956,137,4,316,474
957,137,5,331,497
958,137,6,361,542
959,137,7,411,617
960,138,1,62,93
961,138,2,107,161
962,138,3,202,303
963,138,4,317,476
964,138,5,332,498
965,138,6,362,543
966,138,7,412,618
967,139,1,63,95
968,139,2,108,162
969,139,3,203,305
970,139,4,318,477
971,139,5,333,500
972,139,6,363,545
973,139,7,413,620
974,140,1,64,96
975,140,2,109,164
976,140,3,204,306
977,140,4,319,479
978,140,5,334,501
979,140,6,364,546
980,140,7,414,621
981,141,1,65,98
982,141,2,110,165
983,141,3,205,308
984,141,4,320,480
985,141,5,335,503
986,141,6,365,548
987,141,7,415,623
988,142,1,66,99
989,142,2,111,167
990,142,3,206,309
991,142,4,321,482
992,142,5,336,504
993,142,6,366,549
994,142,7,416,624
995,143,1,67,101
996,143,2,112,168
997,143,3,207,311
998,143,4,322,483
999,143,5,337,506
1000,143,6,367,551
1001,143,7,417,626
1002,144,1,68,102
1003,144,2,113,170
1004,144,3,208,312
1005,144,4,323,485
1006,144,5,338,507
1007,144,6,368,552
1008,144,7,418,627
1009,145,1,69,104
1010,145,2,114,171
1011,145,3,209,314
1012,145,4,324,486
1013,145,5,339,509
1014,145,6,369,554
1015,145,7,419,629
1016,146,1,70,105
1017,146,2,115,173
1018,146,3,210,315
1019,146,4,325,488
1020,146,5,340,510
1021,146,6,370,555
1022,146,7,420,630
1023,147,1,71,107
1024,147,2,116,174
1025,147,3,211,317
1026,147,4,326,489
1027,147,5,341,512
1028,147,6,371,557
1029,147,7,421,632
1030,148,1,72,108
1031,148,2,117,176
1032,148,3,212,318
1033,148,4,327,491
1034,148,5,342,513
1035,148,6,372,558
1036,148,7,422,633
1037,149,1,73,110
1038,149,2,118,177
1039,149,3,213,320
1040,149,4,328,492
1041,149,5,343,515
1042,149,6,373,560
1043,149,7,423,635
1044,150,1,74,111
1045,150,2,119,179
1046,150,3,214,321
1047,150,4,329,494
1048,150,5,344,516
1049,150,6,374,561
1050,150,7,424,636
1051,151,1,50,75
1052,151,2,95,143
1053,151,3,190,285
1054,151,4,305,458
1055,151,5,320,480
1056,151,6,350,525
1057,151,7,400,600
1058,152,1,51,77
1059,152,2,96,144
1060,152,3,191,287
1061,152,4,306,459
1062,152,5,321,482
1063,152,6,351,527
1064,152,7,401,602
1065,153,1,52,78
1066,153,2,97,146
1067,153,3,192,288
1068,153,4,307,461
1069,153,5,322,483
1070,153,6,352,528
1071,153,7,402,603
1072,154,1,53,80
1073,154,2,98,147
1074,154,3,193,290
1075,154,4,308,462
1076,154,5,323,485
1077,154,6,353,530
1078,154,7,403,605
1079,155,1,54,81
1080,155,2,99,149
1081,155,3,194,291
1082,155,4,309,464
1083,155,5,324,486
1084,155,6,354,531
1085,155,7,404,606
1086,156,1,55,83
1087,156,2,100,150
1088,156,3,195,293
1089,156,4,310,465
1090,156,5,325,488
1091,156,6,355,533
1092,156,7,405,608
1093,157,1,56,84
1094,157,2,101,152
1095,157,3,196,294
1096,157,4,311,467
1097,157,5,326,489
1098,157,6,356,534
1099,157,7,406,609
1100,158,1,57,86
1101,158,2,102,153
1102,158,3,197,296
1103,158,4,312,468
1104,158,5,327,491
1105,158,6,357,536
1106,158,7,407,611
1107,159,1,58,87
1108,159,2,103,155
1109,159,3,198,297
1110,159,4,313,470
1111,159,5,328,492
1112,159,6,358,537
1113,159,7,408,612
1114,160,1,59,89
1115,160,2,104,156
1116,160,3,199,299
1117,160,4,314,471
1118,160,5,329,494
1119,160,6,359,539
1120,160,7,409,614
1121,161,1,60,90
1122,161,2,105,158
1123,161,3,200,300
1124,161,4,315,473
1125,161,5,330,495
1126,161,6,360,540
1127,161,7,410,615
1128,162,1,61,92
1129,162,2,106,159
1130,162,3,201,302
1131,162,4,316,474
1132,162,5,331,497
1133,162,6,361,542
1134,162,7,411,617
1135,163,1,62,93
1136,163,2,107,161
1137,163,3,202,303
1138,163,4,317,476
1139,163,5,332,498
1140,163,6,362,543
1141,163,7,412,618
1142,164,1,63,95
1143,164,2,108,162
1144,164,3,203,305
1145,164,4,318,477
1146,164,5,333,500
1147,164,6,363,545
1148,164,7,413,620
1149,165,1,64,96
1150,165,2,109,164
1151,165,3,204,306
1152,165,4,319,479
1153,165,5,334,501
1154,165,6,364,546
1155,165,7,414,621
1156,166,1,65,98
1157,166,2,110,165
1158,166,3,205,308
1159,166,4,320,480
1160,166,5,335,503
1161,166,6,365,548
1162,166,7,415,623
1163,167,1,66,99
1164,167,2,111,167
1165,167,3,206,309
1166,167,4,321,482
1167,167,5,336,504
1168,167,6,366,549
1169,167,7,416,624
1170,168,1,67,101
1171,168,2,112,168
1172,168,3,207,311
1173,168,4,322,483
1174,168,5,337,506
1175,168,6,367,551
1176,168,7,417,626
1177,169,1,68,102
1178,169,2,113,170
1179,169,3,208,312
1180,169,4,323,485
1181,169,5,338,507
1182,169,6,368,552
1183,169,7,418,627
1184,170,1,69,104
1185,170,2,114,171
1186,170,3,209,314
1187,170,4,324,486
1188,170,5,339,509
1189,170,6,369,554
1190,170,7,419,629
1191,171,1,70,105
1192,171,2,115,173
1193,171,3,210,315
1194,171,4,325,488
1195,171,5,340,510
1196,171,6,370,555
1197,171,7,420,630
1198,172,1,71,107
1199,172,2,116,174
1200,172,3,211,317
1201,172,4,326,489
1202,172,5,341,512
1203,172,6,371,557
1204,172,7,421,632
1205,173,1,72,108
1206,173,2,117,176
1207,173,3,212,318
1208,173,4,327,491
1209,173,5,342,513
1210,173,6,372,558
1211,173,7,422,633
1212,174,1,73,110
1213,174,2,118,177
1214,174,3,213,320
1215,174,4,328,492
1216,174,5,343,515
1217,174,6,373,560
1218,174,7,423,635
1219,175,1,74,111
1220,175,2,119,179
1221,175,3,214,321
1222,175,4,329,494
1223,175,5,344,516
1224,175,6,374,561
1225,175,7,424,636
1226,176,1,50,75
1227,176,2,95,143
1228,176,3,190,285
1229,176,4,305,458
1230,176,5,320,480
1231,176,6,350,525
1232,176,7,400,600
1233,177,1,51,77
1234,177,2,96,144
1235,177,3,191,287
1236,177,4,306,459
1237,177,5,321,482
1238,177,6,351,527
1239,177,7,401,602
1240,178,1,52,78
1241,178,2,97,146
1242,178,3,192,288
1243,178,4,307,461
1244,178,5,322,483
1245,178,6,352,528
1246,178,7,402,603
1247,179,1,53,80
1248,179,2,98,147
1249,179,3,193,290
1250,179,4,308,462
1251,179,5,323,485
1252,179,6,353,530
1253,179,7,403,605
1254,180,1,54,81
1255,180,2,99,149
1256,180,3,194,291
1257,180,4,309,464
1258,180,5,324,486
1259,180,6,354,531
1260,180,7,404,606
1261,181,1,55,83
1262,181,2,100,150
1263,181,3,195,293
1264,181,4,310,465
1265,181,5,325,488
1266,181,6,355,533
1267,181,7,405,608
1268,182,1,56,84
1269,182,2,101,152
1270,182,3,196,294
1271,182,4,311,467
1272,182,5,326,489
1273,182,6,356,534
1274,182,7,406,609
1275,183,1,57,86
1276,183,2,102,153
1277,183,3,197,296
1278,183,4,312,468
1279,183,5,327,491
1280,183,6,357,536
1281,183,7,407,611
1282,184,1,58,87
1283,184,2,103,155
1284,184,3,198,297
1285,184,4,313,470
1286,184,5,328,492
1287,184,6,358,537
1288,184,7,408,612
1289,185,1,59,89
1290,185,2,104,156
1291,185,3,199,299
1292,185,4,314,471
1293,185,5,329,494
1294,185,6,359,539
1295,185,7,409,614
1296,186,1,60,90
1297,186,2,105,158
1298,186,3,200,300
1299,186,4,315,473
1300,186,5,330,495
1301,186,6,360,540
1302,186,7,410,615
1303,187,1,61,92
1304,187,2,106,159
1305,187,3,201,302
1306,187,4,316,474
1307,187,5,331,497
1308,187,6,361,542
1309,187,7,411,617
1310,188,1,62,93
1311,188,2,107,161
1312,188,3,202,303
1313,188,4,317,476
1314,188,5,332,498
1315,188,6,362,543
1316,188,7,412,618
1317,189,1,63,95
1318,189,2,108,162
1319,189,3,203,305
1320,189,4,318,477
1321,189,5,333,500
1322,189,6,363,545
1323,189,7,413,620
1324,190,1,64,96
1325,190,2,109,164
1326,190,3,204,306
1327,190,4,319,479
1328,190,5,334,501
1329,190,6,364,546
1330,190,7,414,621
1331,191,1,65,98
1332,191,2,110,165
1333,191,3,205,308
1334,191,4,320,480
1335,191,5,335,503
1336,191,6,365,548
1337,191,7,415,623
1338,192,1,66,99
1339,192,2,111,167
1340,192,3,206,309
1341,192,4,321,482
1342,192,5,336,504
1343,192,6,366,549
1344,192,7,416,624
1345,193,1,67,101
1346,193,2,112,168
1347,193,3,207,311
1348,193,4,322,483
1349,193,5,337,506
1350,193,6,367,551
1351,193,7,417,626
1352,194,1,68,102
1353,194,2,113,170
1354,194,3,208,312
1355,194,4,323,485
1356,194,5,338,507
1357,194,6,368,552
1358,194,7,418,627
1359,195,1,69,104
