SrNo,TollID,CategoryID,Single,Round,Category
197,29,1,53,80,Car/Jeep/Van
198,29,2,98,147,LCV
199,29,3,193,290,Bus/Truck
200,29,4,308,462,Upto 3 Axle
201,29,5,323,485,4 to 6 Axle
202,29,6,353,530,HCM/EME
203,29,7,403,605,7 or more Axle
204,30,1,54,81,Car/Jeep/Van
205,30,2,99,149,LCV
206,30,3,194,291,Bus/Truck
207,30,4,309,464,Upto 3 Axle
208,30,5,324,486,4 to 6 Axle
209,30,6,354,531,HCM/EME
210,30,7,404,606,7 or more Axle
211,31,1,55,83,Car/Jeep/Van
212,31,2,100,150,LCV
213,31,3,195,293,Bus/Truck
214,31,4,310,465,Upto 3 Axle
215,31,5,325,488,4 to 6 Axle
216,31,6,355,533,HCM/EME
217,31,7,405,608,7 or more Axle
218,32,1,56,84,Car/Jeep/Van
219,32,2,101,152,LCV
220,32,3,196,294,Bus/Truck
221,32,4,311,467,Upto 3 Axle
222,32,5,326,489,4 to 6 Axle
223,32,6,356,534,HCM/EME
224,32,7,406,609,7 or more Axle
225,33,1,57,86,Car/Jeep/Van
226,33,2,102,153,LCV
227,33,3,197,296,Bus/Truck
228,33,4,312,468,Upto 3 Axle
229,33,5,327,491,4 to 6 Axle
230,33,6,357,536,HCM/EME
231,33,7,407,611,7 or more Axle
232,34,1,58,87,Car/Jeep/Van
233,34,2,103,155,LCV
234,34,3,198,297,Bus/Truck
235,34,4,313,470,Upto 3 Axle
236,34,5,328,492,4 to 6 Axle
237,34,6,358,537,HCM/EME
238,34,7,408,612,7 or more Axle
239,35,1,59,89,Car/Jeep/Van
240,35,2,104,156,LCV
241,35,3,199,299,Bus/Truck
242,35,4,314,471,Upto 3 Axle
243,35,5,329,494,4 to 6 Axle
244,35,6,359,539,HCM/EME
245,35,7,409,614,7 or more Axle
246,36,1,60,90,Car/Jeep/Van
247,36,2,105,158,LCV
248,36,3,200,300,Bus/Truck
249,36,4,315,473,Upto 3 Axle
250,36,5,330,495,4 to 6 Axle
251,36,6,360,540,HCM/EME
252,36,7,410,615,7 or more Axle
253,37,1,61,92,Car/Jeep/Van
254,37,2,106,159,LCV
255,37,3,201,302,Bus/Truck
256,37,4,316,474,Upto 3 Axle
257,37,5,331,497,4 to 6 Axle
258,37,6,361,542,HCM/EME
259,37,7,411,617,7 or more Axle
260,38,1,62,93,Car/Jeep/Van
261,38,2,107,161,LCV
262,38,3,202,303,Bus/Truck
263,38,4,317,476,Upto 3 Axle
264,38,5,332,498,4 to 6 Axle
265,38,6,362,543,HCM/EME
266,38,7,412,618,7 or more Axle
267,39,1,63,95,Car/Jeep/Van
268,39,2,108,162,LCV
269,39,3,203,305,Bus/Truck
270,39,4,318,477,Upto 3 Axle
271,39,5,333,500,4 to 6 Axle
272,39,6,363,545,HCM/EME
273,39,7,413,620,7 or more Axle
274,40,1,64,96,Car/Jeep/Van
275,40,2,109,164,LCV
276,40,3,204,306,Bus/Truck
277,40,4,319,479,Upto 3 Axle
278,40,5,334,501,4 to 6 Axle
279,40,6,364,546,HCM/EME
280,40,7,414,621,7 or more Axle
281,41,1,65,98,Car/Jeep/Van
282,41,2,110,165,LCV
283,41,3,205,308,Bus/Truck
284,41,4,320,480,Upto 3 Axle
285,41,5,335,503,4 to 6 Axle
286,41,6,365,548,HCM/EME
287,41,7,415,623,7 or more Axle
288,42,1,66,99,Car/Jeep/Van
289,42,2,111,167,LCV
290,42,3,206,309,Bus/Truck
291,42,4,321,482,Upto 3 Axle
292,42,5,336,504,4 to 6 Axle
293,42,6,366,549,HCM/EME
294,42,7,416,624,7 or more Axle
295,43,1,67,101,Car/Jeep/Van
296,43,2,112,168,LCV
297,43,3,207,311,Bus/Truck
298,43,4,322,483,Upto 3 Axle
299,43,5,337,506,4 to 6 Axle
300,43,6,367,551,HCM/EME
301,43,7,417,626,7 or more Axle
302,44,1,68,102,Car/Jeep/Van
303,44,2,113,170,LCV
304,44,3,208,312,Bus/Truck
305,44,4,323,485,Upto 3 Axle
306,44,5,338,507,4 to 6 Axle
307,44,6,368,552,HCM/EME
308,44,7,418,627,7 or more Axle
309,45,1,69,104,Car/Jeep/Van
310,45,2,114,171,LCV
311,45,3,209,314,Bus/Truck
312,45,4,324,486,Upto 3 Axle
313,45,5,339,509,4 to 6 Axle
314,45,6,369,554,HCM/EME
315,45,7,419,629,7 or more Axle
316,46,1,70,105,Car/Jeep/Van
317,46,2,115,173,LCV
318,46,3,210,315,Bus/Truck
319,46,4,325,488,Upto 3 Axle
320,46,5,340,510,4 to 6 Axle
321,46,6,370,555,HCM/EME
322,46,7,420,630,7 or more Axle
323,47,1,71,107,Car/Jeep/Van
324,47,2,116,174,LCV
325,47,3,211,317,Bus/Truck
326,47,4,326,489,Upto 3 Axle
327,47,5,341,512,4 to 6 Axle
328,47,6,371,557,HCM/EME
329,47,7,421,632,7 or more Axle
330,48,1,72,108,Car/Jeep/Van
331,48,2,117,176,LCV
332,48,3,212,318,Bus/Truck
333,48,4,327,491,Upto 3 Axle
334,48,5,342,513,4 to 6 Axle
335,48,6,372,558,HCM/EME
336,48,7,422,633,7 or more Axle
337,49,1,73,110,Car/Jeep/Van
338,49,2,118,177,LCV
339,49,3,213,320,Bus/Truck
340,49,4,328,492,Upto 3 Axle
341,49,5,343,515,4 to 6 Axle
342,49,6,373,560,HCM/EME
343,49,7,423,635,7 or more Axle
344,50,1,74,111,Car/Jeep/Van
345,50,2,119,179,LCV
346,50,3,214,321,Bus/Truck
347,50,4,329,494,Upto 3 Axle
348,50,5,344,516,4 to 6 Axle
349,50,6,374,561,HCM/EME
350,50,7,424,636,7 or more Axle
351,51,1,50,75,Car/Jeep/Van
352,51,2,95,143,LCV
353,51,3,190,285,Bus/Truck
354,51,4,305,458,Upto 3 Axle
355,51,5,320,480,4 to 6 Axle
356,51,6,350,525,HCM/EME
357,51,7,400,600,7 or more Axle
358,52,1,51,77,Car/Jeep/Van
359,52,2,96,144,LCV
360,52,3,191,287,Bus/Truck
361,52,4,306,459,Upto 3 Axle
362,52,5,321,482,4 to 6 Axle
363,52,6,351,527,HCM/EME
364,52,7,401,602,7 or more Axle
365,53,1,52,78,Car/Jeep/Van
366,53,2,97,146,LCV
367,53,3,192,288,Bus/Truck
368,53,4,307,461,Upto 3 Axle
369,53,5,322,483,4 to 6 Axle
370,53,6,352,528,HCM/EME
371,53,7,402,603,7 or more Axle
372,54,1,53,80,Car/Jeep/Van
373,54,2,98,147,LCV
374,54,3,193,290,Bus/Truck
375,54,4,308,462,Upto 3 Axle
376,54,5,323,485,4 to 6 Axle
377,54,6,353,530,HCM/EME
378,54,7,403,605,7 or more Axle
379,55,1,54,81,Car/Jeep/Van
380,55,2,99,149,LCV
381,55,3,194,291,Bus/Truck
382,55,4,309,464,Upto 3 Axle
383,55,5,324,486,4 to 6 Axle
384,55,6,354,531,HCM/EME
385,55,7,404,606,7 or more Axle
386,56,1,55,83,Car/Jeep/Van
387,56,2,100,150,LCV
388,56,3,195,293,Bus/Truck
389,56,4,310,465,Upto 3 Axle
390,56,5,325,488,4 to 6 Axle
391,56,6,355,533,HCM/EME
392,56,7,405,608,7 or more Axle
393,57,1,56,84,Car/Jeep/Van
394,57,2,101,152,LCV
395,57,3,196,294,Bus/Truck
396,57,4,311,467,Upto 3 Axle
397,57,5,326,489,4 to 6 Axle
398,57,6,356,534,HCM/EME
399,57,7,406,609,7 or more Axle
400,58,1,57,86,Car/Jeep/Van
401,58,2,102,153,LCV
402,58,3,197,296,Bus/Truck
403,58,4,312,468,Upto 3 Axle
404,58,5,327,491,4 to 6 Axle
405,58,6,357,536,HCM/EME
406,58,7,407,611,7 or more Axle
407,59,1,58,87,Car/Jeep/Van
408,59,2,103,155,LCV
409,59,3,198,297,Bus/Truck
410,59,4,313,470,Upto 3 Axle
411,59,5,328,492,4 to 6 Axle
412,59,6,358,537,HCM/EME
413,59,7,408,612,7 or more Axle
414,60,1,59,89,Car/Jeep/Van
415,60,2,104,156,LCV
416,60,3,199,299,Bus/Truck
417,60,4,314,471,Upto 3 Axle
418,60,5,329,494,4 to 6 Axle
419,60,6,359,539,HCM/EME
420,60,7,409,614,7 or more Axle
421,61,1,60,90,Car/Jeep/Van
422,61,2,105,158,LCV
423,61,3,200,300,Bus/Truck
424,61,4,315,473,Upto 3 Axle
425,61,5,330,495,4 to 6 Axle
426,61,6,360,540,HCM/EME
427,61,7,410,615,7 or more Axle
428,62,1,61,92,Car/Jeep/Van
429,62,2,106,159,LCV
430,62,3,201,302,Bus/Truck
431,62,4,316,474,Upto 3 Axle
432,62,5,331,497,4 to 6 Axle
433,62,6,361,542,HCM/EME
434,62,7,411,617,7 or more Axle
435,63,1,62,93,Car/Jeep/Van
436,63,2,107,161,LCV
437,63,3,202,303,Bus/Truck
438,63,4,317,476,Upto 3 Axle
439,63,5,332,498,4 to 6 Axle
440,63,6,362,543,HCM/EME
441,63,7,412,618,7 or more Axle
442,64,1,63,95,Car/Jeep/Van
443,64,2,108,162,LCV
444,64,3,203,305,Bus/Truck
445,64,4,318,477,Upto 3 Axle
446,64,5,333,500,4 to 6 Axle
447,64,6,363,545,HCM/EME
448,64,7,413,620,7 or more Axle
449,65,1,64,96,Car/Jeep/Van
450,65,2,109,164,LCV
451,65,3,204,306,Bus/Truck
452,65,4,319,479,Upto 3 Axle
453,65,5,334,501,4 to 6 Axle
454,65,6,364,546,HCM/EME
455,65,7,414,621,7 or more Axle
456,66,1,65,98,Car/Jeep/Van
457,66,2,110,165,LCV
458,66,3,205,308,Bus/Truck
459,66,4,320,480,Upto 3 Axle
460,66,5,335,503,4 to 6 Axle
461,66,6,365,548,HCM/EME
462,66,7,415,623,7 or more Axle
463,67,1,66,99,Car/Jeep/Van
464,67,2,111,167,LCV
465,67,3,206,309,Bus/Truck
466,67,4,321,482,Upto 3 Axle
467,67,5,336,504,4 to 6 Axle
468,67,6,366,549,HCM/EME
469,67,7,416,624,7 or more Axle
470,68,1,67,101,Car/Jeep/Van
471,68,2,112,168,LCV
472,68,3,207,311,Bus/Truck
473,68,4,322,483,Upto 3 Axle
474,68,5,337,506,4 to 6 Axle
475,68,6,367,551,HCM/EME
476,68,7,417,626,7 or more Axle
477,69,1,68,102,Car/Jeep/Van
478,69,2,113,170,LCV
479,69,3,208,312,Bus/Truck
480,69,4,323,485,Upto 3 Axle
481,69,5,338,507,4 to 6 Axle
482,69,6,368,552,HCM/EME
483,69,7,418,627,7 or more Axle
484,70,1,69,104,Car/Jeep/Van
485,70,2,114,171,LCV
486,70,3,209,314,Bus/Truck
487,70,4,324,486,Upto 3 Axle
488,70,5,339,509,4 to 6 Axle
489,70,6,369,554,HCM/EME
490,70,7,419,629,7 or more Axle
491,71,1,70,105,Car/Jeep/Van
492,71,2,115,173,LCV
493,71,3,210,315,Bus/Truck
494,71,4,325,488,Upto 3 Axle
495,71,5,340,510,4 to 6 Axle
496,71,6,370,555,HCM/EME
497,71,7,420,630,7 or more Axle
498,72,1,71,107,Car/Jeep/Van
499,72,2,116,174,LCV
500,72,3,211,317,Bus/Truck
501,72,4,326,489,Upto 3 Axle
502,72,5,341,512,4 to 6 Axle
503,72,6,371,557,HCM/EME
504,72,7,421,632,7 or more Axle
505,73,1,72,108,Car/Jeep/Van
506,73,2,117,176,LCV
507,73,3,212,318,Bus/Truck
508,73,4,327,491,Upto 3 Axle
509,73,5,342,513,4 to 6 Axle
510,73,6,372,558,HCM/EME
511,73,7,422,633,7 or more Axle
512,74,1,73,110,Car/Jeep/Van
513,74,2,118,177,LCV
514,74,3,213,320,Bus/Truck
515,74,4,328,492,Upto 3 Axle
516,74,5,343,515,4 to 6 Axle
517,74,6,373,560,HCM/EME
518,74,7,423,635,7 or more Axle
519,75,1,74,111,Car/Jeep/Van
520,75,2,119,179,LCV
521,75,3,214,321,Bus/Truck
522,75,4,329,494,Upto 3 Axle
523,75,5,344,516,4 to 6 Axle
524,75,6,374,561,HCM/EME
525,75,7,424,636,7 or more Axle
526,76,1,50,75,Car/Jeep/Van
527,76,2,95,143,LCV
528,76,3,190,285,Bus/Truck
529,76,4,305,458,Upto 3 Axle
530,76,5,320,480,4 to 6 Axle
531,76,6,350,525,HCM/EME
532,76,7,400,600,7 or more Axle
533,77,1,51,77,Car/Jeep/Van
534,77,2,96,144,LCV
535,77,3,191,287,Bus/Truck
536,77,4,306,459,Upto 3 Axle
537,77,5,321,482,4 to 6 Axle
538,77,6,351,527,HCM/EME
539,77,7,401,602,7 or more Axle
540,78,1,52,78,Car/Jeep/Van
541,78,2,97,146,LCV
542,78,3,192,288,Bus/Truck
543,78,4,307,461,Upto 3 Axle
544,78,5,322,483,4 to 6 Axle
545,78,6,352,528,HCM/EME
546,78,7,402,603,7 or more Axle
547,79,1,53,80,Car/Jeep/Van
548,79,2,98,147,LCV
549,79,3,193,290,Bus/Truck
550,79,4,308,462,Upto 3 Axle
551,79,5,323,485,4 to 6 Axle
552,79,6,353,530,HCM/EME
553,79,7,403,605,7 or more Axle
554,80,1,54,81,Car/Jeep/Van
555,80,2,99,149,LCV
556,80,3,194,291,Bus/Truck
557,80,4,309,464,Upto 3 Axle
558,80,5,324,486,4 to 6 Axle
559,80,6,354,531,HCM/EME
560,80,7,404,606,7 or more Axle
561,81,1,55,83,Car/Jeep/Van
562,81,2,100,150,LCV
563,81,3,195,293,Bus/Truck
564,81,4,310,465,Upto 3 Axle
565,81,5,325,488,4 to 6 Axle
566,81,6,355,533,HCM/EME
567,81,7,405,608,7 or more Axle
568,82,1,56,84,Car/Jeep/Van
569,82,2,101,152,LCV
570,82,3,196,294,Bus/Truck
571,82,4,311,467,Upto 3 Axle
572,82,5,326,489,4 to 6 Axle
573,82,6,356,534,HCM/EME
574,82,7,406,609,7 or more Axle
575,83,1,57,86,Car/Jeep/Van
576,83,2,102,153,LCV
577,83,3,197,296,Bus/Truck
578,83,4,312,468,Upto 3 Axle
579,83,5,327,491,4 to 6 Axle
580,83,6,357,536,HCM/EME
581,83,7,407,611,7 or more Axle
582,84,1,58,87,Car/Jeep/Van
583,84,2,103,155,LCV
584,84,3,198,297,Bus/Truck
585,84,4,313,470,Upto 3 Axle
586,84,5,328,492,4 to 6 Axle
587,84,6,358,537,HCM/EME
588,84,7,408,612,7 or more Axle
589,85,1,59,89,Car/Jeep/Van
590,85,2,104,156,LCV
591,85,3,199,299,Bus/Truck
592,85,4,314,471,Upto 3 Axle
593,85,5,329,494,4 to 6 Axle
594,85,6,359,539,HCM/EME
595,85,7,409,614,7 or more Axle
596,86,1,60,90,Car/Jeep/Van
597,86,2,105,158,LCV
598,86,3,200,300,Bus/Truck
599,86,4,315,473,Upto 3 Axle
600,86,5,330,495,4 to 6 Axle
601,86,6,360,540,HCM/EME
602,86,7,410,615,7 or more Axle
603,87,1,61,92,Car/Jeep/Van
604,87,2,106,159,LCV
605,87,3,201,302,Bus/Truck
606,87,4,316,474,Upto 3 Axle
607,87,5,331,497,4 to 6 Axle
608,87,6,361,542,HCM/EME
609,87,7,411,617,7 or more Axle
610,88,1,62,93,Car/Jeep/Van
611,88,2,107,161,LCV
612,88,3,202,303,Bus/Truck
613,88,4,317,476,Upto 3 Axle
614,88,5,332,498,4 to 6 Axle
615,88,6,362,543,HCM/EME
616,88,7,412,618,7 or more Axle
617,89,1,63,95,Car/Jeep/Van
618,89,2,108,162,LCV
619,89,3,203,305,Bus/Truck
620,89,4,318,477,Upto 3 Axle
621,89,5,333,500,4 to 6 Axle
622,89,6,363,545,HCM/EME
623,89,7,413,620,7 or more Axle
624,90,1,64,96,Car/Jeep/Van
625,90,2,109,164,LCV
626,90,3,204,306,Bus/Truck
627,90,4,319,479,Upto 3 Axle
628,90,5,334,501,4 to 6 Axle
629,90,6,364,546,HCM/EME
630,90,7,414,621,7 or more Axle
631,91,1,65,98,Car/Jeep/Van
632,91,2,110,165,LCV
633,91,3,205,308,Bus/Truck
634,91,4,320,480,Upto 3 Axle
635,91,5,335,503,4 to 6 Axle
636,91,6,365,548,HCM/EME
637,91,7,415,623,7 or more Axle
638,92,1,66,99,Car/Jeep/Van
639,92,2,111,167,LCV
640,92,3,206,309,Bus/Truck
641,92,4,321,482,Upto 3 Axle
642,92,5,336,504,4 to 6 Axle
643,92,6,366,549,HCM/EME
644,92,7,416,624,7 or more Axle
645,93,1,67,101,Car/Jeep/Van
646,93,2,112,168,LCV
647,93,3,207,311,Bus/Truck
648,93,4,322,483,Upto 3 Axle
649,93,5,337,506,4 to 6 Axle
650,93,6,367,551,HCM/EME
651,93,7,417,626,7 or more Axle
652,94,1,68,102,Car/Jeep/Van
653,94,2,113,170,LCV
654,94,3,208,312,Bus/Truck
655,94,4,323,485,Upto 3 Axle
656,94,5,338,507,4 to 6 Axle
657,94,6,368,552,HCM/EME
658,94,7,418,627,7 or more Axle
659,95,1,69,104,Car/Jeep/Van
660,95,2,114,171,LCV
661,95,3,209,314,Bus/Truck
662,95,4,324,486,Upto 3 Axle
663,95,5,339,509,4 to 6 Axle
664,95,6,369,554,HCM/EME
665,95,7,419,629,7 or more Axle
666,96,1,70,105,Car/Jeep/Van
667,96,2,115,173,LCV
668,96,3,210,315,Bus/Truck
669,96,4,325,488,Upto 3 Axle
670,96,5,340,510,4 to 6 Axle
671,96,6,370,555,HCM/EME
672,96,7,420,630,7 or more Axle
673,97,1,71,107,Car/Jeep/Van
674,97,2,116,174,LCV
675,97,3,211,317,Bus/Truck
676,97,4,326,489,Upto 3 Axle
677,97,5,341,512,4 to 6 Axle
678,97,6,371,557,HCM/EME
679,97,7,421,632,7 or more Axle
680,98,1,72,108,Car/Jeep/Van
681,98,2,117,176,LCV
682,98,3,212,318,Bus/Truck
683,98,4,327,491,Upto 3 Axle
684,98,5,342,513,4 to 6 Axle
685,98,6,372,558,HCM/EME
686,98,7,422,633,7 or more Axle
687,99,1,73,110,Car/Jeep/Van
688,99,2,118,177,LCV
689,99,3,213,320,Bus/Truck
690,99,4,328,492,Upto 3 Axle
691,99,5,343,515,4 to 6 Axle
692,99,6,373,560,HCM/EME
693,99,7,423,635,7 or more Axle
694,100,1,74,111,Car/Jeep/Van
695,100,2,119,179,LCV
696,100,3,214,321,Bus/Truck
697,100,4,329,494,Upto 3 Axle
698,100,5,344,516,4 to 6 Axle
699,100,6,374,561,HCM/EME
700,100,7,424,636,7 or more Axle
701,101,1,50,75,Car/Jeep/Van
702,101,2,95,143,LCV
703,101,3,190,285,Bus/Truck
704,101,4,305,458,Upto 3 Axle
705,101,5,320,480,4 to 6 Axle
706,101,6,350,525,HCM/EME
707,101,7,400,600,7 or more Axle
708,102,1,51,77,Car/Jeep/Van
709,102,2,96,144,LCV
710,102,3,191,287,Bus/Truck
711,102,4,306,459,Upto 3 Axle
712,102,5,321,482,4 to 6 Axle
713,102,6,351,527,HCM/EME
714,102,7,401,602,7 or more Axle
715,103,1,52,78,Car/Jeep/Van
716,103,2,97,146,LCV
717,103,3,192,288,Bus/Truck
718,103,4,307,461,Upto 3 Axle
719,103,5,322,483,4 to 6 Axle
720,103,6,352,528,HCM/EME
721,103,7,402,603,7 or more Axle
722,104,1,53,80,Car/Jeep/Van
723,104,2,98,147,LCV
724,104,3,193,290,Bus/Truck
725,104,4,308,462,Upto 3 Axle
726,104,5,323,485,4 to 6 Axle
727,104,6,353,530,HCM/EME
728,104,7,403,605,7 or more Axle
729,105,1,54,81,Car/Jeep/Van
730,105,2,99,149,LCV
731,105,3,194,291,Bus/Truck
732,105,4,309,464,Upto 3 Axle
733,105,5,324,486,4 to 6 Axle
734,105,6,354,531,HCM/EME
735,105,7,404,606,7 or more Axle
736,106,1,55,83,Car/Jeep/Van
737,106,2,100,150,LCV
738,106,3,195,293,Bus/Truck
739,106,4,310,465,Upto 3 Axle
740,106,5,325,488,4 to 6 Axle
741,106,6,355,533,HCM/EME
742,106,7,405,608,7 or more Axle
743,107,1,56,84,Car/Jeep/Van
744,107,2,101,152,LCV
745,107,3,196,294,Bus/Truck
746,107,4,311,467,Upto 3 Axle
747,107,5,326,489,4 to 6 Axle
748,107,6,356,534,HCM/EME
749,107,7,406,609,7 or more Axle
750,108,1,57,86,Car/Jeep/Van
751,108,2,102,153,LCV
752,108,3,197,296,Bus/Truck
753,108,4,312,468,Upto 3 Axle
754,108,5,327,491,4 to 6 Axle
755,108,6,357,536,HCM/EME
756,108,7,407,611,7 or more Axle
757,109,1,58,87,Car/Jeep/Van
758,109,2,103,155,LCV
759,109,3,198,297,Bus/Truck
760,109,4,313,470,Upto 3 Axle
761,109,5,328,492,4 to 6 Axle
762,109,6,358,537,HCM/EME
763,109,7,408,612,7 or more Axle
